algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n), T4(n)
1739436,918521,1219805,332966,100000000,10000000,2302586,1000000
2440608,774458,383956,107435,337500000,22500000,4062076,1500000
10508987,1051201,542522,124021,800000000,40000000,5991465,2000000
848273,1527899,692242,140106,1562500000,62500000,8047190,2500000
1390556,4134471,803443,181612,2700000000,90000000,10203593,3000000
2736696,895441,3561450,182120,4287500000,122500000,12443719,3500000
3140868,392380,2100992,203732,6400000000,160000000,14755518,4000000
4163560,461871,2249444,310785,9112500000,202500000,17129982,4500000
6383591,560482,5531456,635417,12500000000,250000000,19560116,5000000
7188124,716343,2896557,378099,16637500000,302500000,22040333,5500000
13571783,857084,3819764,124767,21600000000,360000000,24566068,6000000
10912510,926483,2711970,107400,27462500000,422500000,27133518,6500000
13786901,1152834,2639926,132217,34300000000,490000000,29739467,7000000
16979244,1585526,701454,126795,42187500000,562500000,32381161,7500000
18315622,1389037,1088279,149263,51200000000,640000000,35056214,8000000
23574723,1597626,3856015,279850,61412500000,722500000,37762536,8500000
26620149,1722832,687981,222824,72900000000,810000000,40498288,9000000
31782393,2537531,712472,247773,85737500000,902500000,43261831,9500000
37406952,2136384,991779,365170,100000000000,1000000000,46051702,10000000
